,pearson_corr
vol_12m_cs,0.04524452349153564
vol_6m_cs,0.04292688605086801
vol_3m_cs,0.03549025111211097
turnover_cs,0.012548823999083657
turnover_12m_cs,0.011696466396214335
turnover_3m_cs,0.009441592949045294
mom_2_6_cs,0.002124633987455874
ret_lag_3_cs,-0.0012046196535073818
ret_lag_2_cs,-0.0014749369402550197
mom_2_12_cs,-0.004359284127697455
ret_lag_1_cs,-0.005568322680973177
price_ma_12_ratio_cs,-0.03614729170244993
price_ma_6_ratio_cs,-0.03689214885868201
log_mkt_cap_cs,-0.053181276053363306
