date,ret_lag_1_cs,ret_lag_2_cs,ret_lag_3_cs,mom_2_6_cs,mom_2_12_cs,vol_3m_cs,vol_6m_cs,vol_12m_cs,price_ma_6_ratio_cs,price_ma_12_ratio_cs,log_mkt_cap_cs,turnover_cs,turnover_3m_cs,turnover_12m_cs
1994-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.998414643234831e-16,-1.9804909177646276e-17,0.0,0.0
1994-02-28,2.858589508422107e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.138444843800384e-16,4.341711869562583e-17,0.0,0.0
1994-03-31,1.6194126218745772e-18,-1.4806058257138991e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.513919456792462e-16,-7.642470851946665e-17,0.0,0.0
1994-04-29,-4.012301397596252e-17,-1.394168720751557e-18,8.10941472570489e-18,0.0,0.0,-1.175690864137115e-16,0.0,0.0,0.0,0.0,1.0532944685278013e-16,5.30713559699426e-17,2.1144892264731946e-18,0.0
1994-05-31,-4.993746467990317e-18,-4.442639563911894e-17,1.5785437548447925e-17,0.0,0.0,3.958591644990852e-17,0.0,0.0,0.0,0.0,2.833922906299219e-16,5.997301291469366e-17,4.333714219942899e-18,0.0
1994-06-30,-1.98376721525331e-17,1.0852750098553434e-17,-4.677134524076e-17,0.0,0.0,-7.557430106829944e-17,0.0,0.0,0.0,0.0,1.7491249538905768e-16,3.991682363170112e-17,-9.666155600143134e-17,0.0
1994-07-29,1.2243060923184683e-17,-1.0492395961630813e-17,-1.2059009226067679e-17,-9.112732846234054e-18,0.0,-5.721544096204206e-17,-1.725158584630569e-16,0.0,2.3651367692515865e-17,0.0,4.3808361746539435e-16,4.227102284652591e-17,-7.113960400062616e-17,0.0
1994-08-31,9.852827421683743e-18,-5.144599865867502e-18,1.8465438804274428e-17,8.497776564156142e-18,0.0,2.830678274411472e-18,-2.6384734970566562e-17,0.0,9.646124748501567e-19,0.0,-2.1083672664581995e-17,3.157957506949918e-17,3.662082359877559e-17,0.0
1994-09-30,-4.5708360664752336e-18,2.056306300229756e-17,1.9879147381378574e-17,-1.4453416788754605e-17,0.0,-9.643210254957726e-17,-1.2515655862817472e-17,0.0,4.063598647626985e-17,0.0,-3.1045209752249246e-16,9.620413067593759e-18,-6.278345400036307e-17,0.0
1994-10-31,9.833077252086866e-19,-1.524126974073464e-17,-3.4758784705051246e-18,-1.458954252751493e-17,0.0,5.328155813340092e-17,-3.7851630515155313e-17,0.0,2.3324973946810704e-18,0.0,-4.679172714702359e-16,-6.485257462074035e-17,-1.4017851989602904e-17,0.0
1994-11-30,1.1626007615711258e-17,5.480584395670946e-18,1.3516462359787628e-17,5.434334738323511e-18,0.0,-9.973738606974172e-17,-1.1531195818149017e-16,0.0,-4.793776984061549e-17,0.0,-2.2579082717017347e-16,1.9632979543985793e-17,2.4720441852203548e-17,0.0
1994-12-30,2.479662149152239e-17,-1.9063281668872423e-17,9.843649363364276e-18,-2.1913838463679995e-17,0.0,-6.290560688397551e-17,-2.0156043934507804e-18,0.0,-9.79677484258635e-18,0.0,6.568995341818426e-16,-1.4507664180767825e-17,-8.953033468583698e-17,0.0
1995-01-31,-5.549958881692097e-18,2.4084509063676327e-17,-2.0066570081617987e-17,-6.521201685988214e-18,-1.105366810603676e-17,3.83409659410229e-17,1.9151983107572478e-16,-2.5099689042452506e-16,2.3332952131780523e-17,2.936853241562068e-18,-3.69026015975177e-16,-7.242696340608187e-17,-5.70258275093863e-17,-1.2233034368396331e-17
1995-02-28,1.005953009486592e-17,3.031639206671921e-18,-5.964520469490136e-17,2.8708704608635617e-18,-9.577223857440842e-18,1.0105464022239737e-16,7.331054808861191e-17,-3.927350790461352e-18,-1.0886340787594626e-17,-9.267169847667578e-18,-9.048983692641947e-17,1.6536213854574115e-18,-9.990629203805194e-18,-2.0371696790287834e-17
1995-03-31,-1.1141363133289981e-17,8.632254493768063e-18,1.4732381002697496e-18,-9.530008961119942e-18,-3.660075905357659e-18,1.5653154815366088e-18,9.68193664021026e-17,7.821973538619702e-17,5.183093339874804e-17,-4.166501502325385e-18,-5.331280375351156e-16,-6.491455379313584e-17,-6.445416688680154e-19,-9.829260450237236e-18
1995-04-28,-7.087980022161835e-18,3.6712101653248476e-17,-1.8174307749132909e-19,4.031736783376678e-18,8.587360411465299e-18,5.952085787841027e-17,1.677034247551239e-16,3.246385721688866e-17,2.7534076239936357e-17,-3.466749203147102e-17,7.728624370318769e-17,4.5990937679856564e-17,-5.1887648623774454e-17,-5.0274678811038905e-17
1995-05-31,-3.121868760662339e-17,1.2793805599251145e-17,1.4595750049849896e-17,-8.255158014305536e-18,1.25685625429263e-17,9.460208365643452e-17,-3.8336368186488464e-17,2.4206871263230996e-16,-5.297153577119521e-17,-2.181197446685709e-17,5.4418722408082335e-17,5.631076408121102e-17,-8.376789264720952e-17,-1.828973617357734e-17
