date,stock_count
1994-01-31,4835
1994-02-28,4847
1994-03-31,4799
1994-04-29,4778
1994-05-31,4765
1994-06-30,4770
1994-07-29,4788
1994-08-31,4834
1994-09-30,4870
1994-10-31,4855
1994-11-30,4801
1994-12-30,4737
1995-01-31,4801
1995-02-28,4834
1995-03-31,4823
1995-04-28,4887
1995-05-31,4929
1995-06-30,5026
1995-07-31,5142
1995-08-31,5202
1995-09-29,5256
1995-10-31,5134
1995-11-30,5172
1995-12-29,5196
1996-01-31,5277
1996-02-29,5286
1996-03-29,5363
1996-04-30,5494
1996-05-31,5641
1996-06-28,5641
1996-07-31,5514
1996-08-30,5581
1996-09-30,5637
1996-10-31,5525
1996-11-29,5595
1996-12-31,5593
1997-01-31,5711
1997-02-28,5667
1997-03-31,5559
1997-04-30,5453
1997-05-30,5552
1997-06-30,5558
1997-07-31,5592
1997-08-29,5661
1997-09-30,5784
1997-10-31,5719
1997-11-28,5694
1997-12-31,5556
1998-01-30,5565
1998-02-27,5619
1998-03-31,5659
1998-04-30,5667
1998-05-29,5605
1998-06-30,5481
1998-07-31,5380
1998-08-31,4960
1998-09-30,4969
1998-10-30,4951
1998-11-30,5031
1998-12-31,4968
1999-01-29,5083
1999-02-26,4940
1999-03-31,4834
1999-04-30,4955
1999-05-28,5002
1999-06-30,5000
1999-07-30,5017
1999-08-31,4962
1999-09-30,4879
1999-10-29,4826
1999-11-30,4953
1999-12-31,5027
2000-01-31,5116
2000-02-29,5231
2000-03-31,5165
2000-04-28,4890
2000-05-31,4738
2000-06-30,4779
2000-07-31,4702
2000-08-31,4759
2000-09-29,4643
2000-10-31,4451
2000-11-30,4155
2000-12-29,4047
2001-01-31,4305
2001-02-28,4105
2001-03-30,3953
2001-04-30,3977
2001-05-31,4061
2001-06-29,4045
2001-07-31,3983
2001-08-31,3887
2001-09-28,3656
2001-10-31,3720
2001-11-30,3800
2001-12-31,3865
2002-01-31,3851
2002-02-28,3749
2002-03-28,3834
2002-04-30,3789
2002-05-31,3729
2002-06-28,3622
2002-07-31,3421
2002-08-30,3397
2002-09-30,3270
2002-10-31,3309
2002-11-29,3422
2002-12-31,3370
2003-01-31,3336
2003-02-28,3296
2003-03-31,3275
2003-04-30,3371
2003-05-30,3520
2003-06-30,3589
2003-07-31,3654
2003-08-29,3698
2003-09-30,3737
2003-10-31,3828
2003-11-28,3845
2003-12-31,3866
2004-01-30,3968
2004-02-27,3971
2004-03-31,3965
2004-04-30,3908
2004-05-28,3887
2004-06-30,3885
2004-07-30,3777
2004-08-31,3759
2004-09-30,3801
2004-10-29,3796
2004-11-30,3870
2004-12-31,3926
2005-01-31,3877
2005-02-28,3869
2005-03-31,3848
2005-04-29,3739
2005-05-31,3769
2005-06-30,3791
2005-07-29,3876
2005-08-31,3847
2005-09-30,3861
2005-10-31,3834
2005-11-30,3853
2005-12-30,3863
2006-01-31,3906
2006-02-28,3917
2006-03-31,3941
2006-04-28,3937
2006-05-31,3881
2006-06-30,3871
2006-07-31,3836
2006-08-31,3818
2006-09-29,3832
2006-10-31,3875
2006-11-30,3888
2006-12-29,3897
2007-01-31,3902
2007-02-28,3891
2007-03-30,3883
2007-04-30,3885
2007-05-31,3882
2007-06-29,3882
2007-07-31,3830
2007-08-31,3777
2007-09-28,3776
2007-10-31,3738
2007-11-30,3651
2007-12-31,3643
2008-01-31,3600
2008-02-29,3537
2008-03-31,3471
2008-04-30,3464
2008-05-30,3458
2008-06-30,3332
2008-07-31,3320
2008-08-29,3302
2008-09-30,3178
2008-10-31,2859
2008-11-28,2616
2008-12-31,2630
2009-01-30,2533
2009-02-27,2370
2009-03-31,2459
2009-04-30,2641
2009-05-29,2731
2009-06-30,2760
2009-07-31,2828
2009-08-31,2881
2009-09-30,2914
2009-10-30,2836
2009-11-30,2820
2009-12-31,2875
2010-01-29,2879
2010-02-26,2909
2010-03-31,2997
2010-04-30,3065
2010-05-28,2968
2010-06-30,2887
2010-07-30,2896
2010-08-31,2823
2010-09-30,2915
2010-10-29,2948
2010-11-30,2950
2010-12-31,3008
2011-01-31,3017
2011-02-28,3040
2011-03-31,3015
2011-04-29,3004
2011-05-31,2988
2011-06-30,2947
2011-07-29,2917
2011-08-31,2843
2011-09-30,2721
2011-10-31,2798
2011-11-30,2765
2011-12-30,2776
2012-01-31,2833
2012-02-29,2846
2012-03-30,2869
2012-04-30,2868
2012-05-31,2807
2012-06-29,2831
2012-07-31,2795
2012-08-31,2811
2012-09-28,2845
2012-10-31,2803
2012-11-30,2812
2012-12-31,2794
2013-01-31,2853
2013-02-28,2836
2013-03-28,2859
2013-04-30,2863
2013-05-31,2895
2013-06-28,2907
2013-07-31,2952
2013-08-30,2950
2013-09-30,2983
2013-10-31,2983
2013-11-29,3007
2013-12-31,3039
2014-01-31,3047
2014-02-28,3068
2014-03-31,3070
2014-04-30,3055
2014-05-30,3052
2014-06-30,3082
2014-07-31,3066
2014-08-29,3107
2014-09-30,3075
2014-10-31,3061
2014-11-28,3066
2014-12-31,3086
2015-01-30,3074
2015-02-27,3085
2015-03-31,3075
2015-04-30,3077
2015-05-29,3082
2015-06-30,3080
2015-07-31,3031
2015-08-31,3042
2015-09-30,2988
2015-10-30,2996
2015-11-30,3001
2015-12-31,2974
2016-01-29,2878
2016-02-29,2858
2016-03-31,2899
2016-04-29,2907
2016-05-31,2895
2016-06-30,2907
2016-07-29,2915
2016-08-31,2933
2016-09-30,2943
2016-10-31,2887
2016-11-30,2921
2016-12-30,2916
2017-01-31,2909
2017-02-28,2903
2017-03-31,2889
2017-04-28,2877
2017-05-31,2871
2017-06-30,2889
2017-07-31,2881
2017-08-31,2862
2017-09-29,2881
2017-10-31,2843
2017-11-30,2867
2017-12-29,2885
2018-01-31,2901
2018-02-28,2887
2018-03-29,2860
2018-04-30,2880
2018-05-31,2914
2018-06-29,2914
2018-07-31,2928
2018-08-31,2947
2018-09-28,2947
2018-10-31,2879
2018-11-30,2856
2018-12-31,2757
2019-01-31,2822
2019-02-28,2839
2019-03-29,2843
2019-04-30,2844
2019-05-31,2796
2019-06-28,2831
2019-07-31,2821
2019-08-30,2794
2019-09-30,2791
2019-10-31,2786
2019-11-29,2782
2019-12-31,2805
2020-01-31,2794
2020-02-28,2759
2020-03-31,2590
2020-04-30,2685
2020-05-29,2733
2020-06-30,2764
2020-07-31,2793
2020-08-31,2838
