,count,mean,std,min,25%,50%,75%,max
ret_lag_1_cs,1354370.0,0.0,0.9940722988596737,-3.277532742790425,-0.547825950529594,-0.05902268394594702,0.46073298816942254,5.28791648680737
ret_lag_2_cs,1354370.0,-1.3430520489569737e-18,0.9883555951801039,-3.236572010348038,-0.5411329061822497,-0.04687954204976447,0.45493844016270985,5.4057464632237355
ret_lag_3_cs,1354370.0,0.0,0.9826886614317528,-3.359249586479793,-0.5345418277651451,-0.03506890442352802,0.4479420669952065,5.306926729730713
mom_2_6_cs,1354370.0,0.0,0.9659760917373214,-2.682175381557592,-0.5416862749525735,-0.04893225473996954,0.37831183188785916,5.613552826283953
mom_2_12_cs,1354370.0,-2.6861040979139474e-18,0.9336995821242702,-2.343663653470529,-0.5111567978269758,-0.03403207490902427,0.2673451137779048,5.961330430932855
vol_3m_cs,1354370.0,5.372208195827895e-18,0.9826886614317528,-1.6338813198561901,-0.6762115725511153,-0.22325708794245724,0.3664125037226119,5.749536628369526
vol_6m_cs,1354370.0,-1.074441639165579e-17,0.9659760917373212,-1.9363614447327262,-0.6558719460862785,-0.17059802116604378,0.3544330530882658,5.5090008543136575
vol_12m_cs,1354370.0,0.0,0.9336995821242702,-2.2119127475161613,-0.6306092203217779,-0.07954283529703438,0.31078784905150847,5.504635601968828
price_ma_6_ratio_cs,1354370.0,0.0,0.965930229189468,-5.451922044316232,-0.4937020324731585,0.0,0.4939391378423853,4.055808791451452
price_ma_12_ratio_cs,1354370.0,-1.3430520489569737e-18,0.9336624147113336,-4.1248882316173985,-0.46251477881208297,0.0,0.4395605761974318,4.366033882042078
log_mkt_cap_cs,1354370.0,1.074441639165579e-17,0.9998630264682924,-2.2780276487581483,-0.7312776654872596,-0.07446156390145897,0.6385172561786335,2.970272124093269
turnover_cs,1354370.0,-1.074441639165579e-17,0.9998630264682924,-1.2251181651702143,-0.5983292537330821,-0.3026464807035498,0.21006101075622954,7.485682772935903
turnover_3m_cs,1354370.0,0.0,0.9826886614317528,-1.200079238369172,-0.6036329213526007,-0.2719475328191095,0.21082793524318671,7.489784441324701
turnover_12m_cs,1354370.0,0.0,0.9336995821242701,-1.2366346341911236,-0.58123201977725,-0.16752684359703443,0.15377778500645245,6.944219461082078
ret_fwd_1m,1338731.0,0.018703771511976643,0.16149220028651554,-0.900806,-0.0512125,0.007576,0.072545,19.883589
